run_id,profile,family,fold,subset_seed,budget,map_seed,sampling_seed,launched_shots,macro_f1,balanced_accuracy,accuracy,acceptance,failures,test_inference_seconds
pilot_0041043e81de,pilot,B1,0,11,12,,,,0.930275965864686,0.9305555555555557,0.9305555555555556,,0,0.009708899999168352
pilot_02532fbc4957,pilot,B4,0,22,12,,,,0.8252708508456,0.8222222222222221,0.8222222222222222,,0,0.028724499999952968
pilot_076af4751789,pilot,B5,0,22,24,101.0,,,0.5734403276131638,0.5805555555555556,0.5805555555555556,,0,0.018372500000623404
pilot_076af4751789,pilot,B5,0,22,24,202.0,,,0.6633467538106855,0.6722222222222222,0.6722222222222223,,0,0.016657499998473213
pilot_076af4751789,pilot,B5,0,22,24,303.0,,,0.6226321343254487,0.6333333333333334,0.6333333333333333,,0,0.017726200001561665
pilot_0b957fb85fb1,pilot,B6,0,33,24,101.0,,,0.8308759901637299,0.8333333333333334,0.8333333333333334,,0,0.01766690000113158
pilot_0b957fb85fb1,pilot,B6,0,33,24,202.0,,,0.8403735486316036,0.8388888888888889,0.8388888888888889,,0,0.017106399998738198
pilot_0b957fb85fb1,pilot,B6,0,33,24,303.0,,,0.8395980676663455,0.8388888888888889,0.8388888888888889,,0,0.024193700000978424
pilot_0c0482ca6786,pilot,B2,0,22,48,,,,0.9666860916860917,0.9666666666666667,0.9666666666666667,,0,0.09672230000069248
pilot_0cf2cef68107,pilot,B3,0,22,48,,,,0.8861270596740008,0.8861111111111111,0.8861111111111111,,0,0.01706720000038331
pilot_0dce5949ecc0,pilot,B3,0,33,12,,,,0.8209304233074194,0.8250000000000002,0.825,,0,0.01624699999956647
pilot_0ec7aa80c661,pilot,Q1,0,33,12,101.0,,,0.7899882251263626,0.7916666666666666,0.7916666666666666,0.7444414789256746,0,0.29285860000163666
pilot_0ec7aa80c661,pilot,Q1,0,33,12,202.0,,,0.7821270298111974,0.7861111111111111,0.7861111111111111,0.7490697688162926,0,0.3506089000002248
pilot_0ec7aa80c661,pilot,Q1,0,33,12,303.0,,,0.7590182234738961,0.7638888888888888,0.7638888888888888,0.7201816592492728,0,0.3264961000004405
pilot_10714434fb28,pilot,B4,0,22,24,,,,0.8455189225212489,0.8444444444444444,0.8444444444444444,,0,0.028983400001379778
pilot_111a520cf269,pilot,B6,0,11,24,101.0,,,0.7976344614049418,0.7944444444444443,0.7944444444444444,,0,0.019647700000859913
pilot_111a520cf269,pilot,B6,0,11,24,202.0,,,0.8299644609970219,0.8305555555555554,0.8305555555555556,,0,0.019291900000098394
pilot_111a520cf269,pilot,B6,0,11,24,303.0,,,0.8291939548576673,0.8222222222222223,0.8222222222222222,,0,0.019044700000449666
pilot_116e377ea6bc,pilot,B5,0,33,24,101.0,,,0.5307047156231454,0.5194444444444445,0.5194444444444445,,0,0.016101199998956872
pilot_116e377ea6bc,pilot,B5,0,33,24,202.0,,,0.5720276018024891,0.5777777777777778,0.5777777777777777,,0,0.019435299998804112
pilot_116e377ea6bc,pilot,B5,0,33,24,303.0,,,0.5470950906562903,0.5472222222222222,0.5472222222222223,,0,0.018962800000736024
pilot_1a66c79d4c9b,pilot,B2,0,22,12,,,,0.8774269365508548,0.8777777777777778,0.8777777777777778,,0,0.044418200001018704
pilot_1b78f9a85624,pilot,B4,0,33,12,,,,0.8303333777955627,0.8333333333333334,0.8333333333333334,,0,0.02202969999962079
pilot_1cc8286cb294,pilot,B3,0,22,12,,,,0.8148622865767169,0.8138888888888888,0.8138888888888889,,0,0.02401099999951839
pilot_2b51a0c8e3cf,pilot,B6,0,33,48,101.0,,,0.878684190825182,0.8777777777777778,0.8777777777777778,,0,0.02147030000014638
pilot_2b51a0c8e3cf,pilot,B6,0,33,48,202.0,,,0.9144398043588452,0.9138888888888889,0.9138888888888889,,0,0.023552500000732834
pilot_2b51a0c8e3cf,pilot,B6,0,33,48,303.0,,,0.8913116426946025,0.8916666666666666,0.8916666666666667,,0,0.024172499999622232
pilot_2c0cd650cd71,pilot,B5,0,33,48,101.0,,,0.5965660224418999,0.6027777777777777,0.6027777777777777,,0,0.016933499999140622
pilot_2c0cd650cd71,pilot,B5,0,33,48,202.0,,,0.695633504906468,0.7027777777777778,0.7027777777777777,,0,0.01882359999945038
pilot_2c0cd650cd71,pilot,B5,0,33,48,303.0,,,0.6585055999017921,0.6583333333333333,0.6583333333333333,,0,0.021936099999948055
pilot_307d6cb49c4f,pilot,B2,0,11,12,,,,0.9187427547114405,0.9194444444444444,0.9194444444444444,,0,0.018152900000131922
pilot_3591f351a61a,pilot,B5,0,11,48,101.0,,,0.5547465165697903,0.5694444444444445,0.5694444444444444,,0,0.02169750000030035
pilot_3591f351a61a,pilot,B5,0,11,48,202.0,,,0.7110935376561044,0.7277777777777779,0.7277777777777777,,0,0.01850939999894763
pilot_3591f351a61a,pilot,B5,0,11,48,303.0,,,0.6057594774656713,0.6083333333333334,0.6083333333333333,,0,0.02043989999947371
pilot_3c1f821715c9,pilot,B3,0,11,12,,,,0.8315031897887607,0.8333333333333334,0.8333333333333334,,0,0.009689700000308221
pilot_40f0a618f659,pilot,B1,0,33,24,,,,0.975077101771359,0.9750000000000001,0.975,,0,0.025786199999856763
pilot_42d39a95e142,pilot,B6,0,22,12,101.0,,,0.7423708525994285,0.7472222222222222,0.7472222222222222,,0,0.017428900000595604
pilot_42d39a95e142,pilot,B6,0,22,12,202.0,,,0.8038681345104116,0.8055555555555555,0.8055555555555556,,0,0.022062200001528254
pilot_42d39a95e142,pilot,B6,0,22,12,303.0,,,0.8152764592975282,0.811111111111111,0.8111111111111111,,0,0.02289999999993597
pilot_48cce047565d,pilot,B5,0,22,48,101.0,,,0.5847798212926233,0.5944444444444444,0.5944444444444444,,0,0.02400370000032126
pilot_48cce047565d,pilot,B5,0,22,48,202.0,,,0.7223963863241499,0.7222222222222222,0.7222222222222222,,0,0.019441700000243145
pilot_48cce047565d,pilot,B5,0,22,48,303.0,,,0.6314988048565032,0.6333333333333334,0.6333333333333333,,0,0.023184199999377597
pilot_49ca44e76332,pilot,B2,0,33,12,,,,0.8967178298160207,0.8972222222222221,0.8972222222222223,,0,0.04461820000142325
pilot_4f1663b07810,pilot,B3,0,11,24,,,,0.8303327526648463,0.8305555555555557,0.8305555555555556,,0,0.01568769999903452
pilot_4f9bce5736ee,pilot,B4,0,33,48,,,,0.9308391099849908,0.9305555555555555,0.9305555555555556,,0,0.040713599999435246
pilot_520b306163e9,pilot,B2,0,33,24,,,,0.91159981510663,0.9111111111111111,0.9111111111111111,,0,0.11716290000003937
pilot_5272fccd6e57,pilot,Q1,0,11,48,101.0,,,0.8547871732482477,0.8555555555555556,0.8555555555555555,0.7338948529313956,0,0.29776999999921827
pilot_5272fccd6e57,pilot,Q1,0,11,48,202.0,,,0.9084530440550003,0.9083333333333332,0.9083333333333333,0.7656431121362399,0,0.2747732999996515
pilot_5272fccd6e57,pilot,Q1,0,11,48,303.0,,,0.84055638770808,0.8416666666666668,0.8416666666666667,0.7255770916012418,0,0.3105635000010807
pilot_59a8f93a67f2,pilot,Q1,0,22,12,101.0,,,0.7531421230769713,0.7583333333333333,0.7583333333333333,0.7328393292562932,0,0.35548950000156765
pilot_59a8f93a67f2,pilot,Q1,0,22,12,202.0,,,0.7925897688611255,0.7944444444444444,0.7944444444444444,0.7749741585431544,0,0.3745804999998654
pilot_59a8f93a67f2,pilot,Q1,0,22,12,303.0,,,0.7497228660048463,0.7527777777777778,0.7527777777777778,0.7268117224208269,0,0.29788420000113547
pilot_600a67ca20fe,pilot,B3,0,33,24,,,,0.8736165689763912,0.875,0.875,,0,0.017174099999465398
pilot_60cf8f217fda,pilot,B4,0,22,48,,,,0.9083823585747769,0.9083333333333333,0.9083333333333333,,0,0.03419190000022354
pilot_61bb5a9dec21,pilot,B4,0,11,24,,,,0.8207399563059142,0.8166666666666665,0.8166666666666667,,0,0.03343300000051386
pilot_6762c30b47c8,pilot,B5,0,33,12,101.0,,,0.42058499837911595,0.425,0.425,,0,0.016687799999999697
pilot_6762c30b47c8,pilot,B5,0,33,12,202.0,,,0.5014584187197494,0.5083333333333334,0.5083333333333333,,0,0.019342100000358187
pilot_6762c30b47c8,pilot,B5,0,33,12,303.0,,,0.3988621879849648,0.3972222222222223,0.3972222222222222,,0,0.021357999999963795
pilot_67940634badd,pilot,B6,0,11,12,101.0,,,0.7685662011579936,0.7694444444444444,0.7694444444444445,,0,0.022606700000324054
pilot_67940634badd,pilot,B6,0,11,12,202.0,,,0.8563274651513599,0.8555555555555556,0.8555555555555555,,0,0.016562000000703847
pilot_67940634badd,pilot,B6,0,11,12,303.0,,,0.804318822080635,0.811111111111111,0.8111111111111111,,0,0.01875610000024608
pilot_67fb88d243fe,pilot,Q1,0,33,24,101.0,,,0.8117326959357319,0.811111111111111,0.8111111111111111,0.7495198914698483,0,0.2612668000001577
pilot_67fb88d243fe,pilot,Q1,0,33,24,202.0,,,0.8444327109770023,0.8444444444444446,0.8444444444444444,0.7504117992977879,0,0.2714493000003131
pilot_67fb88d243fe,pilot,Q1,0,33,24,303.0,,,0.7758347763089556,0.7805555555555556,0.7805555555555556,0.7214210151188256,0,0.29500849999931233
pilot_68240a730cb2,pilot,B6,0,22,48,101.0,,,0.892982063171495,0.8916666666666666,0.8916666666666667,,0,0.017156099998828722
pilot_68240a730cb2,pilot,B6,0,22,48,202.0,,,0.8811816044243667,0.8805555555555556,0.8805555555555555,,0,0.020600999998350744
pilot_68240a730cb2,pilot,B6,0,22,48,303.0,,,0.8943154465092747,0.8944444444444444,0.8944444444444445,,0,0.023179300000265357
pilot_6af284ee5a1e,pilot,B2,0,33,48,,,,0.9315098175900657,0.9305555555555555,0.9305555555555556,,0,0.09954219999963243
pilot_70769979928a,pilot,B2,0,11,24,,,,0.9364777663384647,0.936111111111111,0.9361111111111111,,0,0.06253210000068066
pilot_78fe9f696eab,pilot,B5,0,22,12,101.0,,,0.4980307766872653,0.49722222222222223,0.49722222222222223,,0,0.022239099998841994
pilot_78fe9f696eab,pilot,B5,0,22,12,202.0,,,0.5338409281716776,0.525,0.525,,0,0.023489100000006147
pilot_78fe9f696eab,pilot,B5,0,22,12,303.0,,,0.4652341647037408,0.4583333333333334,0.4583333333333333,,0,0.01699200000075507
pilot_7a4f477267fc,pilot,B1,0,11,24,,,,0.927437481957906,0.9277777777777777,0.9277777777777778,,0,0.02188180000121065
pilot_7ab1ad7f1a48,pilot,B6,0,11,48,101.0,,,0.8777550872138234,0.8777777777777778,0.8777777777777778,,0,0.025339800000438117
pilot_7ab1ad7f1a48,pilot,B6,0,11,48,202.0,,,0.8968913733004938,0.8972222222222221,0.8972222222222223,,0,0.026606200000969693
pilot_7ab1ad7f1a48,pilot,B6,0,11,48,303.0,,,0.9029251259259641,0.9027777777777778,0.9027777777777778,,0,0.023872200001278543
pilot_7b3cd56a4e90,pilot,B1,0,22,48,,,,0.988865353303856,0.9888888888888889,0.9888888888888889,,0,0.01881839999987278
pilot_7d9884f389d7,pilot,B4,0,11,12,,,,0.8400384005703759,0.8388888888888889,0.8388888888888889,,0,0.010798600000271108
pilot_82828223bd54,pilot,B3,0,33,48,,,,0.9446310598534288,0.9444444444444445,0.9444444444444444,,0,0.009983999998439685
pilot_8c110c252ce9,pilot,Q1,0,11,24,101.0,,,0.7946469161774337,0.7972222222222222,0.7972222222222223,0.7534477619793465,0,0.2634961999992811
pilot_8c110c252ce9,pilot,Q1,0,11,24,202.0,,,0.7984308321554656,0.8027777777777779,0.8027777777777778,0.7480308897484189,0,0.3784517000003689
pilot_8c110c252ce9,pilot,Q1,0,11,24,303.0,,,0.724914361657869,0.7305555555555555,0.7305555555555555,0.7595344832920031,0,0.3712603999993007
pilot_8d776bba5d4e,pilot,Q1,0,33,48,101.0,,,0.8971566324655814,0.8972222222222221,0.8972222222222223,0.7581155868161474,0,0.2822258999985934
pilot_8d776bba5d4e,pilot,Q1,0,33,48,202.0,,,0.9197513034601706,0.9194444444444444,0.9194444444444444,0.7650537659222865,0,0.3100075000002107
pilot_8d776bba5d4e,pilot,Q1,0,33,48,303.0,,,0.8838645960570758,0.8861111111111111,0.8861111111111111,0.7390368155602957,0,0.29071099999964645
pilot_95a56074bdf5,pilot,B1,0,33,48,,,,0.9777205610667564,0.9777777777777779,0.9777777777777777,,0,0.020313100001658313
pilot_9a2108cc3e5c,pilot,B6,0,33,12,101.0,,,0.774528718789082,0.7805555555555556,0.7805555555555556,,0,0.02931929999977001
pilot_9a2108cc3e5c,pilot,B6,0,33,12,202.0,,,0.8176679854157007,0.8166666666666665,0.8166666666666667,,0,0.016238399999565445
pilot_9a2108cc3e5c,pilot,B6,0,33,12,303.0,,,0.7974446257312637,0.7972222222222222,0.7972222222222223,,0,0.01707700000042678
pilot_abf68327ab96,pilot,Q1,0,11,12,101.0,,,0.8025074627815211,0.8055555555555557,0.8055555555555556,0.7354225316221049,0,0.26357649999954447
pilot_abf68327ab96,pilot,Q1,0,11,12,202.0,,,0.809952974405137,0.8138888888888888,0.8138888888888889,0.7218928817408538,0,0.26939260000108334
pilot_abf68327ab96,pilot,Q1,0,11,12,303.0,,,0.7918286229878905,0.7944444444444444,0.7944444444444444,0.7037856583135325,0,0.2995530999996845
pilot_bfbc8e7f29d3,pilot,B2,0,22,24,,,,0.9467989176501493,0.9472222222222223,0.9472222222222222,,0,0.06464319999940926
pilot_c08f6a2f8dd8,pilot,Q1,0,22,48,101.0,,,0.8295727331333157,0.8305555555555557,0.8305555555555556,0.7358216164536385,0,0.2633944999997766
pilot_c08f6a2f8dd8,pilot,Q1,0,22,48,202.0,,,0.8547218852859212,0.8555555555555556,0.8555555555555555,0.7431074616758371,0,0.38472449999972014
pilot_c08f6a2f8dd8,pilot,Q1,0,22,48,303.0,,,0.8485001600203835,0.85,0.85,0.7141989950147929,0,0.32721440000022994
pilot_cffc92f88bb4,pilot,B6,0,22,24,101.0,,,0.8254695625686508,0.8277777777777776,0.8277777777777777,,0,0.017958500000531785
pilot_cffc92f88bb4,pilot,B6,0,22,24,202.0,,,0.8651248375395734,0.8666666666666667,0.8666666666666667,,0,0.023017999999865424
pilot_cffc92f88bb4,pilot,B6,0,22,24,303.0,,,0.8280469517592267,0.8305555555555556,0.8305555555555556,,0,0.02114839999921969
pilot_d22edcab9afd,pilot,B4,0,33,24,,,,0.8669921346280809,0.8638888888888889,0.8638888888888889,,0,0.04202389999954903
pilot_d460c0102c1e,pilot,B3,0,11,48,,,,0.9107353355080341,0.9111111111111111,0.9111111111111111,,0,0.018596800000523217
pilot_d7e01bc4edc1,pilot,B5,0,11,24,101.0,,,0.4545319820728169,0.4527777777777778,0.4527777777777778,,0,0.019355200000063633
