budget,subset_seed,map_seed,B5,B6,Q1,Q1_minus_RFF,Q1_minus_ELM,B4,Q1_minus_RBF
12,11,101.0,0.33255211197880535,0.7685662011579936,0.8025074627815211,0.4699553508027157,0.03394126162352751,0.8400384005703759,-0.03753093778885486
12,11,202.0,0.5324589418387136,0.8563274651513599,0.809952974405137,0.27749403256642347,-0.04637449074622291,0.8400384005703759,-0.030085426165238904
12,11,303.0,0.5280059154773721,0.804318822080635,0.7918286229878905,0.2638227075105184,-0.012490199092744514,0.8400384005703759,-0.04820977758248546
12,22,101.0,0.4980307766872653,0.7423708525994285,0.7531421230769713,0.25511134638970595,0.010771270477542783,0.8252708508456,-0.07212872776862878
12,22,202.0,0.5338409281716776,0.8038681345104116,0.7925897688611255,0.2587488406894479,-0.011278365649286082,0.8252708508456,-0.0326810819844745
12,22,303.0,0.4652341647037408,0.8152764592975282,0.7497228660048463,0.2844887013011055,-0.06555359329268196,0.8252708508456,-0.07554798484075376
12,33,101.0,0.42058499837911595,0.774528718789082,0.7899882251263626,0.3694032267472466,0.015459506337280549,0.8303333777955627,-0.040345152669200135
12,33,202.0,0.5014584187197494,0.8176679854157007,0.7821270298111974,0.28066861109144803,-0.03554095560450332,0.8303333777955627,-0.048206347984365294
12,33,303.0,0.3988621879849648,0.7974446257312637,0.7590182234738961,0.3601560354889313,-0.0384264022573676,0.8303333777955627,-0.07131515432166657
24,11,101.0,0.4545319820728169,0.7976344614049418,0.7946469161774337,0.34011493410461674,-0.002987545227508104,0.8207399563059142,-0.02609304012848057
24,11,202.0,0.593914024107273,0.8299644609970219,0.7984308321554656,0.2045168080481926,-0.031533628841556305,0.8207399563059142,-0.02230912415044861
24,11,303.0,0.5250877550475737,0.8291939548576673,0.724914361657869,0.1998266066102954,-0.10427959319979829,0.8207399563059142,-0.09582559464804519
24,22,101.0,0.5734403276131638,0.8254695625686508,0.7914908207304383,0.21805049311727454,-0.03397874183821248,0.8455189225212489,-0.054028101790810634
24,22,202.0,0.6633467538106855,0.8651248375395734,0.7896764852715014,0.12632973146081583,-0.075448352268072,0.8455189225212489,-0.05584243724974758
24,22,303.0,0.6226321343254487,0.8280469517592267,0.766122370770637,0.14349023644518832,-0.06192458098858966,0.8455189225212489,-0.07939655175061189
24,33,101.0,0.5307047156231454,0.8308759901637299,0.8117326959357319,0.2810279803125866,-0.019143294227997987,0.8669921346280809,-0.05525943869234895
24,33,202.0,0.5720276018024891,0.8403735486316036,0.8444327109770023,0.2724051091745132,0.004059162345398715,0.8669921346280809,-0.022559423651078547
24,33,303.0,0.5470950906562903,0.8395980676663455,0.7758347763089556,0.22873968565266534,-0.0637632913573899,0.8669921346280809,-0.0911573583191253
48,11,101.0,0.5547465165697903,0.8777550872138234,0.8547871732482477,0.30004065667845736,-0.022967913965575737,0.9333150826512299,-0.07852790940298215
48,11,202.0,0.7110935376561044,0.8968913733004938,0.9084530440550003,0.19735950639889588,0.011561670754506426,0.9333150826512299,-0.024862038596229596
48,11,303.0,0.6057594774656713,0.9029251259259641,0.84055638770808,0.23479691024240879,-0.06236873821788402,0.9333150826512299,-0.09275869494314981
48,22,101.0,0.5847798212926233,0.892982063171495,0.8295727331333157,0.2447929118406924,-0.06340933003817928,0.9083823585747769,-0.0788096254414612
48,22,202.0,0.7223963863241499,0.8811816044243667,0.8547218852859212,0.13232549896177126,-0.02645971913844547,0.9083823585747769,-0.0536604732888557
48,22,303.0,0.6314988048565032,0.8943154465092747,0.8485001600203835,0.2170013551638803,-0.045815286488891216,0.9083823585747769,-0.05988219855439336
48,33,101.0,0.5965660224418999,0.878684190825182,0.8971566324655814,0.3005906100236815,0.018472441640399406,0.9308391099849908,-0.03368247751940934
48,33,202.0,0.695633504906468,0.9144398043588452,0.9197513034601706,0.22411779855370262,0.005311499101325445,0.9308391099849908,-0.01108780652482011
48,33,303.0,0.6585055999017921,0.8913116426946025,0.8838645960570758,0.22535899615528365,-0.007447046637526711,0.9308391099849908,-0.04697451392791496
