budget,subset_seed,B1,B2,B3,B4,B1_minus_B3,B2_minus_B4
12,11,0.930275965864686,0.9187427547114405,0.8315031897887607,0.8400384005703759,0.09877277607592527,0.07870435414106458
12,22,0.9581660085596456,0.8774269365508548,0.8148622865767169,0.8252708508456,0.14330372198292873,0.05215608570525476
12,33,0.8843007291209816,0.8967178298160207,0.8209304233074194,0.8303333777955627,0.06337030581356218,0.06638445202045795
24,11,0.927437481957906,0.9364777663384647,0.8303327526648463,0.8207399563059142,0.09710472929305969,0.11573781003255046
24,22,0.9889495914163846,0.9467989176501493,0.8897415636348676,0.8455189225212489,0.09920802778151705,0.1012799951289004
24,33,0.975077101771359,0.91159981510663,0.8736165689763912,0.8669921346280809,0.1014605327949678,0.04460768047854913
48,11,0.988876529477197,0.9531441490327685,0.9107353355080341,0.9333150826512299,0.07814119396916286,0.019829066381538585
48,22,0.988865353303856,0.9666860916860917,0.8861270596740008,0.9083823585747769,0.1027382936298552,0.05830373311131476
48,33,0.9777205610667564,0.9315098175900657,0.9446310598534288,0.9308391099849908,0.033089501213327654,0.0006707076050749272
